一: b
前: aebdubbdm
剐: dzbdueadm
剑: eabaaefdm
剔: dzbbeueedm
剕: dbbbdbbbdm
剖: abaebdzbdm
剜: aahehaujdm
剞: beabdzbmdm
剟: hahahahadm
剡: aeeaaeeadm
剥: zbbmafeadm
剧: zbebddzbdm
剩: ebddbfeneadm
剪: aebdubbdmue
副: bdzbdzbdbdm
割: aahbbbddzbdm
剽: bdzddbbbmeadm
剿: iiidzbbbdeadm
劁: edabbbdbaaaadm
劂: beaeb2deeheadm
劈: zbedzbabaebbdue
劐: bddedabbbdbhadm
劓: edzbbbdzbdbbeddm
力: ue
劝: haue
办: ueaa
功: bdfue
加: uedzb
务: ehcue
劢: bueue
劣: deaeue
动: bb3aue
助: dzbbfue
努: iebhcue
劫: bdb3aue
劬: eudzbue
劭: uedzbue
励: bebueue
劲: habdfue
劳: bddahue
劾: ab3eeaue
势: bmfewaue
勃: bdahhmfue
勇: hadzbbdue
勉: ehdzbenue
勋: dzbdzeaue
勍: abdzbmeaue
勐: hmbdzddfue
勒: bddbdzbbdue
勖: dzbbdzbbbue
勘: bddbbbea2ue
勚: bddb2dzeaue
募: bdddzbbbecue
勤: bddbdzbbbdfue
勰: ueueuedzbdbaoaa
勺: eua
勾: eu3a
勿: euee
匀: euaf
包: euzbn
匆: eueea
匈: euea2d
匍: eubdubbda
匏: beabbxeuzbn
匐: eubdzbdzbdb
匕: en
化: eden
北: dbfen
匙: dzbbbdbecen
匜: budn2
匝: bdud2
匠: beebd2
匡: bbbdb2
匣: bdzbbd2
匦: bb3dfew2
匪: bdbbbdbbb2
匮: bdzbdbdzea2
匹: ben2
区: bea2
医: bebbea2
匾: bazbedubdd2
匿: bbddbedzb2
十: bd
千: ebd
卅: bedd
升: ebed
午: ebbd
卉: bdbed
半: aebbd
华: edenbd
协: bdueaa
卑: edzbbebd
卒: abeaeabd
卓: dbdzbbbd
单: aedzbbbd
卖: bdhaabea
南: bdduaebbd
博: bdbdzbbdabma
卜: da
卞: abda
卟: dzbda
占: dbdzb
卡: dbbda
卢: dbzbe
卣: dbdzzbb
卤: dbdzeab
卦: bdbbdfda
卧: bdzbd2da
卫: udb
卮: eebun
卯: ejeud
印: ejbud
危: ehbeun
即: zbbjaud
却: bdb3aud
卵: ejaeuda
卷: aebbecun
卸: ebbdbdfud
卺: hmhecbun
卿: ejezbbjaud
厂: be
厄: beun
厅: bebm
历: beue
厉: bebue
压: bebdba
厌: bebeca
厍: beb3bd
厕: bedzeadm
厘: bedzbbdbb
厚: bedzbbhmb
厝: bebddbdzbb
原: beedzbbmea
厢: bebdeadzbbb
厣: bebecadzbbd
厥: beaeb2deehec
厦: bebedzbbbehc
厨: bebdzbaefbma
厩: bezbbjab3en
厮: bebddbbbeaeebd
去: bdb3a
厾: wbdb3a
县: dzbbb3a
叁: 3abecbbb
参: 3abeceee
又: hc
叉: hca
及: e6c
友: behc
双: hahc
反: eehc
发: 3ehca
叔: dbbmeahc
取: bddbbfhc
受: eaaeahhc
变: abddeahc
叙: eabbmeahc
叛: aebbeeehc
叟: edbzbbdhc
叠: hahahaahdzbbb
口: dzb
古: bddzb
句: eudzb
另: dzbue
叨: dzbue
叩: dzbud
只: dzbea
叫: dzbjd
召: uedzb
叭: dzbec
叮: dzbbm
可: bdzbm
台: 3adzb
叱: dzben
史: dzbec
右: bedzb
叵: bdzb2
叶: dzbbd
号: dzbbx
司: ubdzb
叹: dzbhc
叻: dzbue
叼: dzbuf
叽: dzbew
吁: dzbbbm
吃: dzbebw
各: ehcdzb
吆: dzb33a
合: ecbdzb
吉: bdbdzb
吊: dzbdud
同: dubdzb
名: ehadzb
后: eebdzb
吏: bdzbec
吐: dzbbdb
向: edudzb
吓: dzbbda
吕: dzbdzb
吗: dzbzxb
君: zbbedzb
吝: abecdzb
吞: bbecdzb
吟: dzbecah
吠: dzbbeca
吡: dzbbjen
吣: dzbaoaa
否: bedadzb
吧: dzbzdbn
吨: dzbb2dn
吩: dzbecue
含: ecahdzb
听: dzbeebd
吭: dzbabew
吮: dzb3aen
启: azbedzb
吱: dzbbdhc
吲: dzbzbxd
吴: dzbbbec
吵: dzbdeae
吸: dzbe6c
吹: dzbehec
吻: dzbeuee
吼: dzbhmfn
吾: bdzbdzb
呀: dzbb3me
呃: dzbbeun
呆: dzbbdec
呈: dzbbbdb
告: ebdbdzb
呋: dzbbbec
呐: dzbduea
呓: dzbbddw
呔: dzbbeca
呕: dzbbea2
呖: dzbbeue
呗: dzbdzea
员: dzbdzea
呙: dzbduea
呛: dzbecun
呜: dzbeuxb
呢: dzbzbeen
呤: dzbecaha
呦: dzb33aue
周: eubdbdzb
呱: dzbeejac
呲: dzbdbdfen
味: dzbbbdec
呵: dzbbdzbm
呶: dzbiebhc
呷: dzbdzbbd
呸: dzbbedab
呻: dzbdzbbd
呼: dzbeaebm
命: ecbdzbud
咀: dzbdzbbb
咂: dzbbdud2
咄: dzb2dd2d
咆: dzbeuzbn
咋: dzbebdbb
和: ebdeadzb
咎: ehcdadzb
咏: dzbauhec
咐: dzbedbma
咒: dzbdzbew
咔: dzbdbbda
咕: dzbbddzb
咖: dzbuedzb
咙: dzbbenea
咚: dzbehcaa
咛: dzbaahbm
咝: dzb3333b
咣: dzbdaeben
咤: dzbaahebn
咦: dzbbzbxec
咧: dzbbehadm
咨: afehecdzb
咩: dzbaebbbd
咪: dzbaebdec
咫: zbecdzbea
咬: dzbabeaec
咭: dzbbdbdzb
咯: dzbehcdzb
咱: dzbedzbbb
咳: dzbab3eea
咴: dzbbeaeec
咸: bebdzboea
咻: dzbedbdec
咽: dzbdzbeab
咿: dzbedzbbe
哀: abdzbejec
品: dzbdzbdzb
哂: dzbbdze2b
哄: dzbbddbea
哆: dzbehaeha
哇: dzbbdbbdb
哈: dzbecbdzb
哉: bdbdzboea
哌: dzbeeejec
响: dzbedudzb
哎: dzbbddec
哏: dzbzbbjec
哐: dzbbbbdb2
哑: dzbbddaeb
哓: dzbboeben
哔: dzbbjenbd
哕: dzbd2deha
哗: dzbedenbd
哙: dzbecbb3a
哚: dzbeqbdec
哝: dzbahejec
哞: dzb3aebbd
哟: dzb33feua
哥: bdzbdbdzbm
哦: dzbebmfoea
哧: dzbbdbemea
哨: dzbdaedubb
哩: dzbdzbbdbb
哪: dzbubberd
哭: dzbdzbbeca
哮: dzbbdbehmb
哲: bmfeebddzb
哳: dzbbmfeebd
哺: dzbbdubbda
哼: dzbabdzbhm
哽: dzbbdzbbec
哿: uedzbbdzbm
唁: dzbabbbdzb
唆: dzb3aeaehc
唇: bebbjecdzb
唉: dzb3aebbec
唏: dzbeabedud
唐: abezbbddzb
唑: dzbeaeabdb
唔: dzbbdzbdzb
唛: dzbbbdbehc
唝: dzbbdbdzea
唠: dzbbddahue
唢: dzbdaedzea
唣: dzbedzbbbn
唤: dzbehdzbec
唧: dzbzbbjaud
唪: dzbbbbecbbd
唬: dzbdbhebnew
售: edabbbdbdzb
唯: dzbedabbbdb
唱: dzbdzbbdzbb
唳: dzbazbebeca
唷: dzbab3adubb
唼: dzbabaebieb
唾: dzbebdbddbb
唿: dzbeueeaoaa
啁: dzbeubdbdzb
啃: dzbdbdbdubb
啄: dzbbeleeaec
商: abaedueadzb
啉: dzbbdeabdec
啊: dzbrdbdzbm
啐: dzbabeaeabd
啕: dzbeuebbd2d
啖: dzbaeeaaeec
啜: dzbhahahahc
啡: dzbdbbbdbbb
啤: dzbedzbbebd
啥: dzbecbbddzb
啦: dzbbmfabaeb
啧: dzbbbdbdzea
啪: dzbbmfedzbb
啬: bdaebdzdzbb
啭: dzbb3dfbb5a
啮: dzbdbdbea2d
啰: dzbdzddbeha
啴: dzbaedzbbbd
啵: dzbaafhedhc
啶: dzbaahbdbec
啷: dzbazbbjard
啸: dzbzbbdedea
啻: abaeahduddzb
啼: dzbabaeahdud
啾: dzbebdeaaeec
喀: dzbaahehcdzb
喁: dzbdzbbdudfa
喂: dzbdzbdbbjec
喃: dzbbdduaebbd
善: aebbbdaebdzb
喇: dzbbdzbdeadm
喈: dzbbjenedzbb
喉: dzbedzbebbec
喊: dzbbebdzboea
喋: dzbbddb2bdec
喏: dzbbddbedzb
喑: dzbabaebdzbb
喔: dzbzbeb3abdb
喘: dzbd2dbedudd
喙: dzb3hbeleeec
喜: bdbdzbaebdzb
喝: dzbdzbbeuea2
喟: dzbdzbdbdubb
喤: dzbedzbbbbdb
喧: dzbaahbdzbbb
喱: dzbbedzbbdbb
喳: dzbbdecdzbbb
喵: dzbbdddzbdb
喷: dzbbdbdddzea
喹: dzbbecbdbbdb
喻: dzbecbdubbdm
喽: dzbaebdecieb
喾: aaeahebdbdzb
嗄: dzbbedzbbbehc
嗅: dzbedzbbbbeca
嗉: dzbbbdb33amea
嗌: dzbaebeadzddb
嗍: dzbaeb2deeubb
嗑: dzbbdb3adzddb
嗒: dzbbddecbdzb
嗓: dzbhahahabdec
嗔: dzbbddzbbbbea
嗖: dzbedbzbbdhc
嗜: dzbbdbeendzbb
嗝: dzbbdzbduaebd
嗞: dzbaeb33a33a
嗟: dzbaebbbebdb
嗡: dzbec3auafuaf
嗣: dzbdubddubdzb
嗤: dzb2ddbdzbdba
嗥: dzbedzbbbecbd
嗦: dzbbdah33amea
嗨: dzbaafeb2uaba
嗪: dzbbbbecebdea
嗫: dzbbddbbbhahc
嗬: dzbbddedbdzbm
嗯: dzbdzbeabaoaa
嗲: dzbeaecehaeha
嗳: dzbeaaeahbehc
嗵: dzbhadubbda6c
嗷: dzbbbdbueebec
嗽: dzbbdzbdeaehec
嗾: dzbabueebebbec
嘀: dzbabaedubddzb
嘁: dzbbedbbmeaoea
嘈: dzbbdzbddbdzbb
嘉: bdbdzbaebuedzb
嘌: dzbbdzddbbbmea
嘎: dzbbedzbbbboea
嘏: bddzbzbdbbzbhc
嘘: dzbdbhebnddaeb
嘚: dzbeeddzbbbbma
嘛: dzbabebdeabdec
嘞: dzbbddbdzbbdue
嘟: dzbbdbedzbbrd
嘡: dzbdaeahdzbbdb
嘣: dzbd2deubbeubb
嘤: dzbdzeadzeaieb
嘧: dzbaahaoaead2d
嘬: dzbdzbbbddbbfhc
嘭: dzbbdbdzbaefeee
嘱: dzbzbeedzbdudfa
嘲: dzbbddzbbbdeubb
嘴: dzbdbdfeneheubbd
嘶: dzbbddbbbeaeebd
嘹: dzbbecaedzbbmea
嘻: dzbbdbdzbaebdzb
嘿: dzbdzaebdbbaaaa
噀: dzbzbnzbnbddbea
噌: dzbaedzdaebdzbb
噍: dzbedabbbdbaaaa
噎: dzbbdbahbdzbaeb
噔: dzbhaeecbdzbaeb
噗: dzbddaebaebbbec
噙: dzbecabea2ddu3a
噜: dzbehdzbdbbdzbb
噢: dzbedzaebdeabec
噤: dzbbdeabdecbbmea
器: dzbdzbbecadzbdzb
噩: bddzbdzbbdzbdzbb
噪: dzbdzbdzbdzbbdec
噫: dzbabaebdzbbaoaa
噬: dzbebaebabdeaeab
噱: dzbdbhebnbeleeec
噶: dzbbdddzbbeuea2
噻: dzbaahbbddbecbdb
噼: dzbzbedzbabaebbd
嚄: dzbbddedabbbdbhc
嚅: dzbbahdaaaabedudd
嚆: dzbbddabdzbdudzb
嚎: dzbabdzbahbeleeec
嚏: dzbbdahdzbdbhdbec
嚓: dzbaahehaahcbbmea
嚚: dzbdzbbdzbd2dzbdzb
嚣: dzbdzbbedzeadzbdzb
嚯: dzbbahdaaaaedabbbdb
嚷: dzbabdzbdzbbbddbejec
嚼: dzbeaaedzddbzbbjabma
囊: bdzbdahdzbdzbbbddbejec
囔: dzbbdzbdahdzbdzbbbddbejec
囚: dzeab
四: dze2b
囝: dzhmbb
回: dzdzbb
囟: edzeab
因: dzbeab
囡: dziebb
团: dzbmeb
囤: dzb2dnb
囫: dzeueeb
园: dzbbenb
困: dzbdeab
囱: edzehab
围: dzbbudb
囵: dzecenb
囹: dzecahab
固: dzbddzbb
国: dzbbdbab
图: dzehcaab
囿: dzbedubbb
圃: dzbdubbdab
圄: dzbdzbdzbb
圆: dzdzbdzeab
圈: dzaebbecunb
圉: dzbdbaebbdb
圊: dzbbdbdubbb
圜: dzdzddbbdzbejeab
土: bdb
圣: hcbdb
在: bedbdb
圩: bdfbbm
圪: bdfebw
圬: bdfbbx
圭: bdbbdb
圮: bdfzbn
圯: bdfzbn
地: bdfudn
圳: bdfedd
圹: bdfabe
场: bdfree
圻: bdfeebd
圾: bdfe6c
址: bdfdbdb
坂: bdfeehc
均: bdfeuaf
坊: bdfabue
坌: ecuebdb
坍: bdfeuab
坎: bdfehec
坏: bdfbeda
坐: eaeabdb
坑: bdfabew
块: bdfzbec
坚: ddhcbdb
坛: bdfbb3a
坜: bdfbeue
坝: bdfdzea
坞: bdfeuxb
坟: bdfabec
坠: rdecbdb
坡: bdfhedhc
坤: bdfdzbbd
坦: bdfdzbbb
坨: bdfaahen
坩: bdfbddbb
坪: bdfbaebd
坫: bdfdbdzb
坭: bdfzbeen
坯: bdfbedab
坳: bdf33aue
坷: bdfbdzbm
坻: bdfejboa
坼: bdfeebda
垂: ebdbddbb
垃: bdfabaeb
垄: beneabdb
垅: bdfbenea
垆: bdfdbzbe
型: bbeddmbdb
垌: bdfdubdzb
垍: bdfedzbbb
垒: 3a3a3abdb
垓: bdfab3eea
垛: bdfeqbdec
垞: bdfaahebn
垟: bdfaebbbd
垠: bdfzbbjec
垡: edboeabdb
垢: bdfeebdzb
垣: bdfbdzbbb
垤: bdfb3abdb
垦: zbbjecbdb
垧: bdfedudzb
垩: bddaebbdb
垫: bmfewabdb
垭: bdfbddaeb
垮: bdfbecbbx
垯: bdfbeaa6c
垱: bdfdaezbb
垲: bdfd2dzbn
垸: bdfaahbben
埂: bdfbdzbbec
埃: bdf3aebbec
埋: bdfdzbbdbb
城: bdfbeuoea
埏: bdfedb26c
埒: bdfeaaebma
埔: bdfbdubbda
埕: bdfdzbbbdb
埘: bdfdzbbbma
埙: bdfdzbdzea
埚: bdfdzbduea
埝: bdfecahaoaa
域: bdfbdzbfoea
埠: bdfedzbzbbd
埭: bdfzbbmafec
埯: bdfbecdzbbn
埴: bdfbddzbbbb
埸: bdfdzbbeuee
培: bdfabaebdzb
基: bddbbbecbdb
埼: bdfbeabdzbm
埽: bdfzbbahdud
堂: daeahdzbbdb
堆: bdfedabbbdb
堇: bddbdzbbbdb
堉: bdfab3adubb
堋: bdfeubbeubb
堌: bdfdzbddzbb
堍: bdfehdzbena
堑: b3dfeebdbdb
堕: rdbedubbbdb
堙: bdfbdzddbbdb
堞: bdfbddb2bdec
堠: bdfedzbebbec
堡: eddzbbdecbdb
堤: bdfdzbbbdbec
堪: bdfbddbbbea2
堰: bdfbdzbbieb2
堵: bdfbdbedzbb
塃: bdfbddab2edn
塄: bdfdzddbabue
塆: bdfabddaazbx
塈: zbbjab2enbdb
塌: bdfdzbbuafuaf
塍: eubbaebbecbdb
塑: aeb2deeubbbdb
塔: bdfbddecbdzb
塘: bdfabezbbddzb
塞: aahbbddbecbdb
塥: bdfbdzbduaebd
填: bdfbddzbbbbea
塬: bdfbeedzbbmea
塮: bdfedubbbebma
塾: abdzbhmfewabdb
墀: bdfzbedafeaebbd
墁: bdfdzbbdzddbhc
境: bdfabaebdzbben
墅: dzbbdbfhahmbdb
墈: bdfbddbbbea2ue
墉: bdfabezbbdubbd
墒: bdfabaedueadzb
墓: bdddzbbbecbdb
墙: bdfbdaebdzdzbb
增: bdfaedzdaebdzbb
墟: bdfdbhebnddaeb
墦: bdfeaebdecdzbdb
墨: dzaebdbbaaaabdb
墩: bdfabdzbhmfebec
墼: bdzbbbd2deqhcbdb
壁: zbedzbabaebbdbdb
壅: ab33eedabbbdbbdb
壑: dbahbeaecdzbhcbdb
壕: bdfabdzbahbeleeec
壤: bdfabdzbdzbbbddbejec
士: bdb
壬: ebdb
壮: afdbdb
声: bdbzdbe
壳: bdbahew
壶: bdbahddaeb
壹: bdbahbdzbaeb
处: ehcda
备: ehcdzbdb
复: ebdzbbehc
夏: bedzbbbehc
夔: aebedzbbbdbdfzbneaehc
夕: eha
外: ehada
夙: ewbeha
多: ehaeha
夜: abedehac
够: eudzbehaeha
夤: ehaaahbdzbdbea
夥: dzbbbdeaehaeha
大: bec
天: bbec
太: beca
夫: bbec
夬: zbec
夭: ebec
央: dzbec
夯: becue
失: ebbec
头: aabea
夷: bzbxec
夸: becbbx
夹: baebec
夺: becbma
夼: becedd
奁: becbea2
奂: ehdzbec
奄: becdzbbn
奇: beabdzbm
奈: becbbmea
奉: bbbecbbd
奋: becdzbdb
奎: becbdbbdb
奏: bbbecbbea
契: bbbduebec
奔: becbdbed
奕: abemeabec
奖: afdehabec
套: becbdbbb3a
奘: 2dbebdbbec
奚: eaae33abec
